Identifier ,Term,Also known as,See Also,Definition ,Notes/Additional Info,External Identifier,External Version Number ,License ,Source,Link 
fairsem:01,Acronym,,,Abbreviation made up of the initial letters of the components of the full form of the designation or from syllables of the full form and pronounced syllabically. ,"Acronyms examples: laser, DOS, GATT, UNESCO, UNICEF.",ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:02,Designation,,,Representation of a concept by a sign which denotes it. ,"In terminology work three types of designations are distinguished: symbols, appellations and terms.",ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:03,Special Language,,,Synonym: language for special purposes. Language used in a subject field and characterized by the use of specific linguistic means of expression. ,The specific linguistic means of expression always include subject-specific terminology and phraseology and also may cover stylistic or syntactic features. ,ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:04,Related Term,RT,,Index term with a coordinate relation and equal rank to another index term. ,A related term is of associated meaning but not synonymous with the other term.,ISO 5127:2001,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:05,Term,,,Verbal designation (3.4.1) of a general concept in a specific subject field. ,"A term may contain symbols and can have variants, e.g. different forms of spelling.",ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:06,Synonomy,,,Relation between or among terms in a given language representing the same concept.,EXAMPLE: Category-class; deuterium-heavy hydrogen.,ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:07,Concept,,,Unit of knowledge created by a unique combination of characteristics. ,,ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:08,Terminology Science,,,"Science studying the structure, formation, development, usage and management of terminologies in various subject fields. ",,ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:09,Abbreviation,,,Designation formed by omitting words or letters from a longer form and designating the same concept. ,,ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:10,Thesaurus,,,Controlled vocabulary including equivalent terms interrelations and rules of application.,,ISO 5127:2001,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
